pod,timestamp,cpu_usage_value,cpu_usage_label,memory_usage_value,memory_usage_label,network_in_value,network_in_label,network_out_value,network_out_label
free5gc-upf-59679ddc6d-45kpt,2024-09-20 19:59:35,1.7850474587141064e-05,normal,121344000.0,normal,19.337293670519266,normal,0.26005966511745415,normal
free5gc-upf2-5cb579b5db-pvhzt,2024-09-20 19:59:35,3.497228724444286e-05,normal,160661504.0,normal,19.40240168508827,normal,0.0,normal
free5gc-upf-59679ddc6d-45kpt,2024-09-20 19:59:38,1.835414383574657e-05,normal,121344000.0,normal,18.63546549920576,normal,0.24654745510194737,normal
free5gc-upf2-5cb579b5db-pvhzt,2024-09-20 19:59:38,3.392904818692538e-05,normal,160661504.0,normal,19.40240168508827,normal,0.0,normal
free5gc-upf-59679ddc6d-45kpt,2024-09-20 19:59:41,1.8448375617699884e-05,normal,121344000.0,normal,18.635465499205765,normal,0.24654745510194737,normal
free5gc-upf2-5cb579b5db-pvhzt,2024-09-20 19:59:41,3.377944004977787e-05,normal,160661504.0,normal,19.402401685088268,normal,0.0,normal
